Wavelength,Absorbance
nm, a.u.
827,-0.000943
826,-0.001028
825,-0.001011
824,-0.001061
823,-0.001013
822,-0.001034
821,-0.001014
820,-0.000855
819,-0.000854
818,-0.000766
817,-0.000671
816,-0.000565
815,-0.000661
814,-0.000763
813,-0.000806
812,-0.000709
811,-0.000583
810,-0.000729
809,-0.000794
808,-0.000626
807,-0.000749
806,-0.000663
805,-0.00061
804,-0.0006
803,-0.000657
802,-0.000698
801,-0.000806
800,-0.000698
799,-0.000609
798,-0.000544
797,-0.000435
796,-0.0006
795,-0.000608
794,-0.000466
793,-0.000398
792,-0.000327
791,-0.000431
790,-0.000429
789,-0.000446
788,-0.000412
787,-0.000349
786,-0.000388
785,-0.000299
784,-0.00021
783,-0.000173
782,-0.000221
781,-0.000142
780,-0.000145
779,-0.000214
778,-0.000068
777,0.000084
776,0.000033
775,-0.000016
774,-0.000019
773,0.000088
772,0.000041
771,-0.000022
770,0.000193
769,0.000211
768,0.000227
767,0.000367
766,0.000329
765,0.00029
764,0.000425
763,0.000445
762,0.000382
761,0.000589
760,0.000642
759,0.000616
758,0.000729
757,0.000742
756,0.000751
755,0.000723
754,0.00066
753,0.000726
752,0.00088
751,0.000936
750,0.000823
749,0.000843
748,0.000994
747,0.001053
746,0.001149
745,0.001167
744,0.001125
743,0.00123
742,0.001289
741,0.001319
740,0.001422
739,0.001399
738,0.001488
737,0.001559
736,0.00159
735,0.001697
734,0.001841
733,0.001809
732,0.001798
731,0.001986
730,0.002017
729,0.001951
728,0.002092
727,0.00216
726,0.002258
725,0.002295
724,0.002253
723,0.002343
722,0.002581
721,0.00262
720,0.002601
719,0.002792
718,0.002862
717,0.002798
716,0.003036
715,0.003098
714,0.00313
713,0.003234
712,0.003329
711,0.003393
710,0.003561
709,0.00354
708,0.003601
707,0.003759
706,0.003923
705,0.003943
704,0.004054
703,0.004206
702,0.004233
701,0.004496
700,0.004511
699,0.004533
698,0.004877
697,0.004861
696,0.005004
695,0.005174
694,0.005228
693,0.005389
692,0.005658
691,0.00575
690,0.00589
689,0.006002
688,0.00617
687,0.006371
686,0.006596
685,0.006696
684,0.006935
683,0.007134
682,0.007406
681,0.007645
680,0.007758
679,0.007999
678,0.008266
677,0.008501
676,0.008818
675,0.009097
674,0.009266
673,0.009616
672,0.009935
671,0.01027
670,0.010728
669,0.010892
668,0.011327
667,0.011908
666,0.012327
665,0.012708
664,0.0134
663,0.013806
662,0.014355
661,0.015078
660,0.015583
659,0.016313
658,0.017334
657,0.017879
656,0.018847
655,0.019673
654,0.020571
653,0.021618
652,0.022781
651,0.023948
650,0.02527
649,0.026596
648,0.028053
647,0.029628
646,0.031492
645,0.033167
644,0.035228
643,0.03743
642,0.0395
641,0.041952
640,0.044584
639,0.047185
638,0.050003
637,0.053149
636,0.056188
635,0.05951
634,0.063173
633,0.066719
632,0.070486
631,0.07466
630,0.078845
629,0.083123
628,0.087939
627,0.092241
626,0.096771
625,0.101485
624,0.106297
623,0.111015
622,0.115991
621,0.120813
620,0.125362
619,0.130174
618,0.134539
617,0.138728
616,0.143111
615,0.146808
614,0.150691
613,0.154487
612,0.157578
611,0.160783
610,0.163669
609,0.166159
608,0.168532
607,0.170544
606,0.172322
605,0.173928
604,0.175587
603,0.176387
602,0.177359
601,0.178494
600,0.179208
599,0.179856
598,0.180568
597,0.180976
596,0.181661
595,0.182357
594,0.182862
593,0.183828
592,0.184709
591,0.185474
590,0.186603
589,0.188064
588,0.189322
587,0.190843
586,0.192732
585,0.194526
584,0.196408
583,0.198718
582,0.200856
581,0.203486
580,0.206258
579,0.208801
578,0.211583
577,0.214625
576,0.217558
575,0.22046
574,0.223562
573,0.226425
572,0.229339
571,0.232478
570,0.235425
569,0.238241
568,0.241163
567,0.243566
566,0.24609
565,0.248516
564,0.250553
563,0.252509
562,0.254376
561,0.255887
560,0.257355
559,0.258407
